"X","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","NHD_LAKE_ID","SITE_ID","State"
"1919407","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.190F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"19.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","0.35","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919412","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.210F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"21.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","0.15","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919415","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.230F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"23.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","0.15","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919420","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.235F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"23.5","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","0.1","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919351","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.010F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"1.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","8.7","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919354","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.020F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"2.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","8.8","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919357","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.030F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"3.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","8.8","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919360","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8507241155.040F","Field Msr/Obs","Water","Surface Water","1985-07-24","11:55:00","CDT",,,,"4.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","8.8","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-07-24",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919479","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8508211545.200F","Field Msr/Obs","Water","Surface Water","1985-08-21","15:45:00","CDT",,,,"20.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","0.6","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-08-21",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919425","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8508211545.000F","Field Msr/Obs","Water","Surface Water","1985-08-21","15:45:00","CDT",,,,"0.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9.4","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-08-21",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919436","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8508211545.010F","Field Msr/Obs","Water","Surface Water","1985-08-21","15:45:00","CDT",,,,"1.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9.4","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-08-21",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919439","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8508211545.020F","Field Msr/Obs","Water","Surface Water","1985-08-21","15:45:00","CDT",,,,"2.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9.4","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-08-21",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919442","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8508211545.030F","Field Msr/Obs","Water","Surface Water","1985-08-21","15:45:00","CDT",,,,"3.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9.4","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-08-21",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919445","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8508211545.040F","Field Msr/Obs","Water","Surface Water","1985-08-21","15:45:00","CDT",,,,"4.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9.4","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-08-21",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919448","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8508211545.050F","Field Msr/Obs","Water","Surface Water","1985-08-21","15:45:00","CDT",,,,"5.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9.4","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-08-21",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919451","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8508211545.060F","Field Msr/Obs","Water","Surface Water","1985-08-21","15:45:00","CDT",,,,"6.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9.4","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-08-21",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919454","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8508211545.070F","Field Msr/Obs","Water","Surface Water","1985-08-21","15:45:00","CDT",,,,"7.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9.4","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-08-21",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919457","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8508211545.080F","Field Msr/Obs","Water","Surface Water","1985-08-21","15:45:00","CDT",,,,"8.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9.4","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-08-21",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919460","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8508211545.100F","Field Msr/Obs","Water","Surface Water","1985-08-21","15:45:00","CDT",,,,"10.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","10.2","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-08-21",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919465","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8508211545.120F","Field Msr/Obs","Water","Surface Water","1985-08-21","15:45:00","CDT",,,,"12.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-08-21",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919468","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8508211545.140F","Field Msr/Obs","Water","Surface Water","1985-08-21","15:45:00","CDT",,,,"14.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","6.6","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-08-21",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919471","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8508211545.160F","Field Msr/Obs","Water","Surface Water","1985-08-21","15:45:00","CDT",,,,"16.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","1.4","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-08-21",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919474","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8508211545.180F","Field Msr/Obs","Water","Surface Water","1985-08-21","15:45:00","CDT",,,,"18.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","0.8","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1985-08-21",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919545","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8605201230.220F","Field Msr/Obs","Water","Surface Water","1986-05-20","12:30:00","CDT",,,,"22.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","8.5","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1986-05-20",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919497","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8605201230.010F","Field Msr/Obs","Water","Surface Water","1986-05-20","12:30:00","CDT",,,,"1.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","11.7","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1986-05-20",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919500","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8605201230.020F","Field Msr/Obs","Water","Surface Water","1986-05-20","12:30:00","CDT",,,,"2.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","11.8","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1986-05-20",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919504","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8605201230.030F","Field Msr/Obs","Water","Surface Water","1986-05-20","12:30:00","CDT",,,,"3.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","11.9","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1986-05-20",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919506","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8605201230.040F","Field Msr/Obs","Water","Surface Water","1986-05-20","12:30:00","CDT",,,,"4.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","11.9","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1986-05-20",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919509","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8605201230.050F","Field Msr/Obs","Water","Surface Water","1986-05-20","12:30:00","CDT",,,,"5.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","12.4","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1986-05-20",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919536","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8605201230.160F","Field Msr/Obs","Water","Surface Water","1986-05-20","12:30:00","CDT",,,,"16.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","9.4","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1986-05-20",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
"1919539","MNPCA","Minnesota Pollution Control Agency - Ambient Surface Water","MNPCA-15-0057-00-101.8605201230.180F","Field Msr/Obs","Water","Surface Water","1986-05-20","12:30:00","CDT",,,,"18.0","m",,,,,,"PRJ00293",,,,,,,,,,,"Dissolved oxygen (DO)","Total","8.8","mg/l",,"Final",,"Actual",,,,,,,,,,,,,"DO WINKLER","MNPCA","Dissolved Oxygen, Iodometric Method with Azide Modification",,,"1986-05-20",,,,,,"STORET","47722777","MNPCA-15-0057-00-101","MN"
