"ActivityStartDate","ActivityDepthHeightMeasure.MeasureValue","CharacteristicName","ResultMeasureValue"
"1978-11-08",8,"Phosphorus","1.93"
"1978-11-08",8,"Total suspended solids","24"
"1978-11-08",8,"Chloride","14"
"1981-02-04",0.5,"pH","8.3"
"1981-02-04",0.5,"Dissolved oxygen (DO)","13.8"
"1981-02-04",0.5,"Dissolved oxygen saturation","100"
"1981-02-04",0.5,"Depth, Secchi disk depth","0.6"
"1981-02-04",0.5,"Temperature, water","2"
"1981-02-04",0.5,"Specific conductance","590"
"1981-02-04",0.5,"Alkalinity, total","325"
"1981-02-04",0.5,"Phosphorus","0.27"
"1981-02-04",0.5,"Chlorophyll a, corrected for pheophytin","42"
"1981-02-04",8,"pH","7.9"
"1981-02-04",0.5,"Total suspended solids","81"
"1981-02-04",1,"Dissolved oxygen (DO)","12.8"
"1981-02-04",1,"Dissolved oxygen saturation","94.8148"
"1981-02-04",1,"Temperature, water","3"
"1981-02-04",1.5,"Dissolved oxygen (DO)","12.7"
"1981-02-04",1.5,"pH","8.2"
"1981-02-04",1.5,"Dissolved oxygen saturation","94.0741"
"1981-02-04",1.5,"Temperature, water","3"
"1981-02-04",1.5,"Specific conductance","590"
"1981-02-04",1.5,"Alkalinity, total","321"
"1981-02-04",1.5,"Phosphorus","0.26"
"1981-02-04",3,"Dissolved oxygen (DO)","12.8"
"1981-02-04",3,"pH","8.2"
"1981-02-04",3,"Dissolved oxygen saturation","94.8148"
"1981-02-04",3,"Temperature, water","3"
"1981-02-04",3,"Specific conductance","580"
"1981-02-04",3,"Alkalinity, total","323"
"1981-02-04",3,"Phosphorus","0.34"
"1981-02-04",4,"Dissolved oxygen (DO)","12.3"
"1981-02-04",4,"Dissolved oxygen saturation","91.1111"
"1981-02-04",4,"Temperature, water","3.5"
"1981-02-04",4.5,"Specific conductance","600"
"1981-02-04",4.5,"Alkalinity, total","321"
"1981-02-04",4.5,"Phosphorus","0.29"
"1981-02-04",5,"Dissolved oxygen (DO)","12.1"
"1981-02-04",5,"pH","8.1"
"1981-02-04",5,"Dissolved oxygen saturation","89.6296"
"1981-02-04",5,"Temperature, water","3.5"
"1981-02-04",6,"Dissolved oxygen (DO)","10.6"
"1981-02-04",6,"pH","8.1"
"1981-02-04",6,"Dissolved oxygen saturation","78.5185"
"1981-02-04",6,"Temperature, water","3.5"
"1981-02-04",6,"Specific conductance","580"
"1981-02-04",6,"Alkalinity, total","321"
"1981-02-04",6,"Phosphorus","0.36"
"1981-02-04",7,"Dissolved oxygen (DO)","4.7"
"1981-02-04",7,"Dissolved oxygen saturation","35.8778"
"1981-02-04",7,"Temperature, water","4"
"1981-02-04",8,"Dissolved oxygen (DO)","2.3"
"1981-02-04",8,"Dissolved oxygen saturation","17.5572"
"1981-02-04",8,"Temperature, water","4"
"1981-02-04",8,"Specific conductance","610"
"1981-02-04",8,"Alkalinity, total","325"
"1981-02-04",8,"Phosphorus","0.45"
"1981-02-04",9,"Dissolved oxygen (DO)","1.2"
"1981-02-04",9,"Dissolved oxygen saturation","9.1603"
"1981-02-04",9,"Temperature, water","4"
"1981-02-04",10,"Dissolved oxygen (DO)","0.1"
"1981-02-04",10,"Dissolved oxygen saturation","0.76336"
"1981-02-04",10,"Temperature, water","4"
"1981-03-02",0.5,"pH","8.6"
"1981-03-02",0.5,"Dissolved oxygen (DO)","20"
"1981-03-02",0.5,"Dissolved oxygen saturation","160"
"1981-03-02",0.5,"Depth, Secchi disk depth","0.7"
"1981-03-02",0.5,"Temperature, water","6"
"1981-03-02",0.5,"Specific conductance","400"
"1981-03-02",0.5,"Alkalinity, total","109"
"1981-03-02",0.5,"Phosphorus","0.3"
"1981-03-02",0.5,"Chlorophyll a, corrected for pheophytin","1.8"
"1981-03-02",0.5,"Total suspended solids","27"
"1981-03-02",1,"Dissolved oxygen (DO)","20"
"1981-03-02",1,"Dissolved oxygen saturation","160"
"1981-03-02",1,"Temperature, water","6"
"1981-03-02",2,"Dissolved oxygen (DO)","16"
"1981-03-02",2,"Dissolved oxygen saturation","125"
"1981-03-02",2,"Temperature, water","5"
"1981-03-02",3,"Dissolved oxygen (DO)","11.8"
"1981-03-02",3,"Dissolved oxygen saturation","90.0763"
"1981-03-02",3,"Temperature, water","4.2"
"1981-03-02",4,"Dissolved oxygen (DO)","10.8"
"1981-03-02",4,"pH","8.1"
"1981-03-02",4,"Dissolved oxygen saturation","82.4427"
"1981-03-02",4,"Temperature, water","4"
"1981-03-02",4,"Specific conductance","600"
"1981-03-02",8,"Temperature, water","4"
"1981-03-02",4,"Alkalinity, total","280"
"1981-03-02",4,"Phosphorus","0.28"
"1981-03-02",5,"Dissolved oxygen (DO)","9.5"
"1981-03-02",5,"Dissolved oxygen saturation","72.5191"
"1981-03-02",5,"Temperature, water","4"
"1981-03-02",6,"Dissolved oxygen (DO)","4.1"
"1981-03-02",6,"Dissolved oxygen saturation","31.2977"
"1981-03-02",6,"Temperature, water","4"
"1981-03-02",7,"Dissolved oxygen (DO)","0.5"
"1981-03-02",7,"Dissolved oxygen saturation","3.81679"
"1981-03-02",7,"Temperature, water","4"
"1981-03-02",8,"Dissolved oxygen (DO)","0.4"
"1981-03-02",8,"pH","7.9"
"1981-03-02",8,"Dissolved oxygen saturation","3.05343"
"1981-03-02",8,"Specific conductance","600"
"1981-03-02",8,"Alkalinity, total","288"
"1981-03-02",8,"Phosphorus","0.46"
"1981-03-02",9,"Dissolved oxygen (DO)","0.05"
"1981-03-02",9,"Dissolved oxygen saturation","0.38168"
"1981-03-02",9,"Temperature, water","4"
"1981-03-02",10,"Dissolved oxygen (DO)","0.05"
"1981-03-02",10,"Dissolved oxygen saturation","0.38168"
"1981-03-02",10,"Temperature, water","4"
"1981-04-14",0.5,"pH","8.3"
"1981-04-14",0.5,"Dissolved oxygen (DO)","11.8"
"1981-04-14",0.5,"Dissolved oxygen saturation","104.425"
"1981-04-14",0.5,"Depth, Secchi disk depth","0.9"
"1981-04-14",0.5,"Temperature, water","10"
"1981-04-14",0.5,"Specific conductance","520"
"1981-04-14",0.5,"Phosphorus","0.27"
"1981-04-14",0.5,"Chlorophyll a, corrected for pheophytin","48"
"1981-04-14",0.5,"Total suspended solids","24"
"1981-04-14",0.5,"Alkalinity, total","266"
"1981-04-14",1,"Dissolved oxygen (DO)","12"
"1981-04-14",1,"Dissolved oxygen saturation","106.195"
"1981-04-14",1,"Temperature, water","10.5"
"1981-04-14",2,"Dissolved oxygen (DO)","12"
"1981-04-14",2,"Dissolved oxygen saturation","106.195"
"1981-04-14",2,"Temperature, water","10.5"
"1981-04-14",3,"Dissolved oxygen (DO)","11.8"
"1981-04-14",3,"pH","8.3"
"1981-04-14",3,"Dissolved oxygen saturation","104.425"
"1981-04-14",3,"Temperature, water","10"
"1981-04-14",3,"Specific conductance","520"
"1981-04-14",3,"Alkalinity, total","266"
"1981-04-14",3,"Phosphorus","0.25"
"1981-04-14",4,"Dissolved oxygen (DO)","11.6"
"1981-04-14",4,"Dissolved oxygen saturation","102.655"
"1981-04-14",4,"Temperature, water","10"
"1981-04-14",4.5,"Specific conductance","520"
"1981-04-14",4.5,"Alkalinity, total","268"
"1981-04-14",4.5,"Phosphorus","0.27"
"1981-04-14",5,"Dissolved oxygen (DO)","11.6"
"1981-04-14",5,"pH","8.4"
"1981-04-14",5,"Dissolved oxygen saturation","102.655"
"1981-04-14",5,"Temperature, water","10"
"1981-04-14",6,"Dissolved oxygen (DO)","11.6"
"1981-04-14",6,"pH","8.3"
"1981-04-14",6,"Dissolved oxygen saturation","102.655"
"1981-04-14",6,"Temperature, water","10"
"1981-04-14",6,"Specific conductance","520"
"1981-04-14",6,"Alkalinity, total","263"
"1981-04-14",6,"Phosphorus","0.27"
"1981-04-14",7,"Dissolved oxygen (DO)","11.4"
"1981-04-14",7,"Dissolved oxygen saturation","100.885"
"1981-04-14",7,"Temperature, water","10"
"1981-04-14",7.5,"Dissolved oxygen (DO)","11.4"
"1981-04-14",7.5,"pH","8.3"
"1981-04-14",7.5,"Temperature, water","10"
"1981-04-14",7.5,"Dissolved oxygen saturation","100.885"
"1981-04-14",7.5,"Specific conductance","520"
"1981-05-06",0.5,"Dissolved oxygen saturation","106"
"1981-04-14",7.5,"Alkalinity, total","268"
"1981-04-14",7.5,"Phosphorus","0.26"
"1981-04-14",9,"Dissolved oxygen (DO)","11.2"
"1981-04-14",9,"pH","8.3"
"1981-04-14",9,"Dissolved oxygen saturation","99.115"
"1981-04-14",9,"Temperature, water","10"
"1981-04-14",9,"Specific conductance","520"
"1981-04-14",9,"Alkalinity, total","266"
"1981-04-14",9,"Phosphorus","0.25"
"1981-04-14",10,"Dissolved oxygen (DO)","11"
"1981-04-14",10,"Dissolved oxygen saturation","97.3451"
"1981-04-14",10,"Temperature, water","10"
"1981-04-14",10.5,"Dissolved oxygen (DO)","0.2"
"1981-04-14",10.5,"Dissolved oxygen saturation","1.72414"
"1981-04-14",10.5,"Temperature, water","9.5"
"1981-05-06",0.5,"pH","8.7"
"1981-05-06",0.5,"Dissolved oxygen (DO)","10.6"
"1981-05-06",0.5,"Depth, Secchi disk depth","1.2"
"1981-05-06",0.5,"Temperature, water","15.8"
"1981-05-06",0.5,"Specific conductance","490"
"1981-05-06",0.5,"Alkalinity, total","266"
"1981-05-06",0.5,"Phosphorus","0.15"
"1981-05-06",0.5,"Chlorophyll a, corrected for pheophytin","33"
"1981-05-06",0.5,"Total suspended solids","5"
"1981-05-06",1,"Dissolved oxygen (DO)","10.6"
"1981-05-06",1,"Dissolved oxygen saturation","103.922"
"1981-05-06",1,"Temperature, water","15.5"
"1981-05-06",2,"Dissolved oxygen (DO)","9"
"1981-05-06",2,"Dissolved oxygen saturation","88.2353"
"1981-05-06",2,"Temperature, water","15"
"1981-05-06",3,"Dissolved oxygen (DO)","8.4"
"1981-05-06",3,"Dissolved oxygen saturation","80.7692"
"1981-05-06",3,"Temperature, water","14.5"
"1981-05-06",4,"Dissolved oxygen (DO)","7.2"
"1981-05-06",4,"Dissolved oxygen saturation","69.2307"
"1981-05-06",4,"Temperature, water","14"
"1981-05-06",5,"Dissolved oxygen (DO)","2.5"
"1981-05-06",5,"pH","8.4"
"1981-05-06",5,"Dissolved oxygen saturation","23.5849"
"1981-05-06",5,"Temperature, water","12.8"
"1981-05-06",5,"Specific conductance","500"
"1981-05-06",5,"Alkalinity, total","264"
"1981-05-18",2,"Temperature, water","14.7"
"1981-05-06",5,"Phosphorus","0.19"
"1981-05-06",6,"Dissolved oxygen (DO)","0.6"
"1981-05-06",6,"Dissolved oxygen saturation","5.4054"
"1981-05-06",6,"Temperature, water","11"
"1981-05-06",7,"Dissolved oxygen (DO)","0.05"
"1981-05-06",7,"Dissolved oxygen saturation","0.44248"
"1981-05-06",7,"Temperature, water","10.5"
"1981-05-06",8,"Dissolved oxygen (DO)","0.05"
"1981-05-06",8,"Dissolved oxygen saturation","0.44248"
"1981-05-06",8,"Temperature, water","10"
"1981-05-06",9,"Dissolved oxygen (DO)","0.05"
"1981-05-06",9,"pH","8.1"
"1981-05-06",9,"Dissolved oxygen saturation","0.44248"
"1981-05-06",9,"Temperature, water","9.6"
"1981-05-18",5,"Dissolved oxygen saturation","6.60377"
"1981-05-06",9,"Alkalinity, total","266"
"1981-05-06",9,"Phosphorus","0.38"
"1981-05-06",9,"Specific conductance","510"
"1981-05-06",10,"Dissolved oxygen (DO)","0.05"
"1981-05-06",10,"Dissolved oxygen saturation","0.43103"
"1981-05-06",10,"Temperature, water","9.5"
"1981-05-18",0.5,"pH","8.6"
"1981-05-18",0.5,"Dissolved oxygen (DO)","10"
"1981-05-18",0.5,"Dissolved oxygen saturation","98.0392"
"1981-05-18",0.5,"Depth, Secchi disk depth","1"
"1981-05-18",0.5,"Temperature, water","15.3"
"1981-05-18",0.5,"Specific conductance","535"
"1981-05-18",0.5,"Alkalinity, total","266"
"1981-05-18",0.5,"Phosphorus","0.25"
"1981-05-18",0.5,"Chlorophyll a, corrected for pheophytin","22"
"1981-05-18",0.5,"Total suspended solids","16"
"1981-05-18",1,"Dissolved oxygen (DO)","10"
"1981-05-18",1,"Dissolved oxygen saturation","98.0392"
"1981-05-18",1,"Temperature, water","15.3"
"1981-05-18",2,"Dissolved oxygen (DO)","8.7"
"1981-05-18",2,"Dissolved oxygen saturation","85.2941"
"1981-05-18",3,"Dissolved oxygen (DO)","7.3"
"1981-05-18",3,"Dissolved oxygen saturation","70.1923"
"1981-05-18",3,"Temperature, water","14"
"1981-05-18",4,"Dissolved oxygen (DO)","5"
"1981-05-18",4,"pH","8.5"
"1981-05-18",4,"Dissolved oxygen saturation","48.0769"
"1981-05-18",4,"Temperature, water","13.8"
"1981-05-18",4,"Specific conductance","505"
"1981-05-18",4,"Phosphorus","0.23"
"1981-05-18",4,"Alkalinity, total","266"
"1981-05-18",5,"Dissolved oxygen (DO)","0.7"
"1981-05-18",5,"Temperature, water","13"
"1981-05-18",6,"Dissolved oxygen (DO)","0.1"
"1981-05-18",6,"Dissolved oxygen saturation","0.92593"
"1981-05-18",6,"Temperature, water","12.3"
"1981-05-18",7,"Dissolved oxygen (DO)","0.1"
"1981-05-18",7,"Dissolved oxygen saturation","0.9009"
"1981-05-18",7,"Temperature, water","11.2"
"1981-05-18",7.5,"Specific conductance","490"
"1981-05-18",7.5,"Alkalinity, total","270"
"1981-05-18",7.5,"Phosphorus","0.61"
"1981-05-18",8,"Dissolved oxygen (DO)","0.05"
"1981-05-18",8,"Dissolved oxygen saturation","0.44248"
"1981-05-18",8,"Temperature, water","10.5"
"1981-05-18",9,"Dissolved oxygen (DO)","0.05"
"1981-05-18",9,"Dissolved oxygen saturation","0.44248"
"1981-05-18",9,"Temperature, water","9.9"
"1981-05-18",10,"Dissolved oxygen (DO)","0.05"
"1981-05-18",10,"Dissolved oxygen saturation","0.43103"
"1981-05-18",10,"Temperature, water","9.5"
"1981-05-18",10.5,"Dissolved oxygen (DO)","0.05"
"1981-05-18",10.5,"Dissolved oxygen saturation","0.43103"
"1981-05-18",10.5,"Temperature, water","9.3"
"1981-06-10",0.5,"pH","8.6"
"1981-06-10",0.5,"Dissolved oxygen (DO)","13.2"
"1981-06-10",0.5,"Dissolved oxygen saturation","146.667"
"1981-06-10",0.5,"Depth, Secchi disk depth","0.9"
"1981-06-10",0.5,"Temperature, water","21"
"1981-06-10",0.5,"Specific conductance","490"
"1981-06-10",0.5,"Alkalinity, total","243"
"1981-06-10",0.5,"Phosphorus","0.18"
"1981-06-10",0.5,"Chlorophyll a, corrected for pheophytin","61"
"1981-06-10",0.5,"Total suspended solids","30"
"1981-06-10",1,"Dissolved oxygen (DO)","13"
"1981-06-10",1,"Dissolved oxygen saturation","144.444"
"1981-06-10",1,"Temperature, water","21"
"1981-06-10",2,"Dissolved oxygen (DO)","12.8"
"1981-06-10",2,"Dissolved oxygen saturation","142.222"
"1981-06-10",2,"Temperature, water","21"
"1981-06-10",3,"Dissolved oxygen (DO)","12"
"1981-06-10",3,"pH","8.6"
"1981-06-10",3,"Dissolved oxygen saturation","130.435"
"1981-06-10",3,"Temperature, water","20.5"
"1981-06-10",3,"Specific conductance","490"
"1981-06-10",3,"Alkalinity, total","244"
"1981-06-10",3,"Phosphorus","0.15"
"1981-06-10",4,"Dissolved oxygen (DO)","0.1"
"1981-06-10",4,"Dissolved oxygen saturation","1.03093"
"1981-06-10",4,"Temperature, water","16.7"
"1981-06-10",5,"Dissolved oxygen (DO)","0.05"
"1981-06-10",5,"Dissolved oxygen saturation","0.4717"
"1981-06-10",5,"Temperature, water","13.5"
"1981-06-10",6,"Dissolved oxygen (DO)","0.05"
"1981-06-10",6,"Dissolved oxygen saturation","0.4717"
"1981-06-10",6,"Temperature, water","12.6"
"1981-06-10",7,"Dissolved oxygen (DO)","0.05"
"1981-06-10",7,"Dissolved oxygen saturation","0.46296"
"1981-06-10",7,"Temperature, water","11.7"
"1981-06-10",8,"Dissolved oxygen (DO)","0.05"
"1981-06-10",8,"Dissolved oxygen saturation","0.45045"
"1981-06-10",8,"Temperature, water","11"
"1981-06-10",9,"Dissolved oxygen (DO)","0.05"
"1981-06-10",9,"Dissolved oxygen saturation","0.45045"
"1981-06-10",9,"Temperature, water","10.6"
"1981-06-10",9.5,"Specific conductance","580"
"1981-06-10",9.5,"Alkalinity, total","298"
"1981-06-10",9.5,"Phosphorus","1.2"
"1981-07-08",6,"Dissolved oxygen saturation","0.96154"
"1981-06-10",10,"Dissolved oxygen (DO)","0.05"
"1981-06-10",10,"pH","7.8"
"1981-06-10",10,"Dissolved oxygen saturation","0.44248"
"1981-06-10",10,"Temperature, water","10"
"1981-06-10",10.5,"Dissolved oxygen (DO)","0.05"
"1981-06-10",10.5,"Dissolved oxygen saturation","0.44248"
"1981-06-10",10.5,"Temperature, water","10"
"1981-06-23",0.5,"pH","8"
"1981-06-23",0.5,"Dissolved oxygen (DO)","6.2"
"1981-06-23",0.5,"Dissolved oxygen saturation","65.2631"
"1981-06-23",0.5,"Depth, Secchi disk depth","1.4"
"1981-06-23",0.5,"Temperature, water","18.5"
"1981-06-23",0.5,"Specific conductance","540"
"1981-06-23",0.5,"Alkalinity, total","266"
"1981-06-23",0.5,"Phosphorus","0.36"
"1981-06-23",4,"Temperature, water","18.2"
"1981-06-23",0.5,"Chlorophyll a, corrected for pheophytin","11"
"1981-06-23",0.5,"Total suspended solids","14"
"1981-06-23",1,"Dissolved oxygen (DO)","6.2"
"1981-06-23",1,"Temperature, water","18.5"
"1981-06-23",1,"Dissolved oxygen saturation","65.2631"
"1981-06-23",2,"Dissolved oxygen (DO)","6.2"
"1981-06-23",2,"Dissolved oxygen saturation","65.2631"
"1981-06-23",2,"Temperature, water","18.3"
"1981-06-23",3,"Dissolved oxygen (DO)","6.1"
"1981-06-23",3,"pH","8"
"1981-06-23",3,"Dissolved oxygen saturation","64.2105"
"1981-06-23",3,"Temperature, water","18.2"
"1981-06-23",3,"Specific conductance","540"
"1981-06-23",3,"Alkalinity, total","264"
"1981-06-23",3,"Phosphorus","0.37"
"1981-06-23",4,"Dissolved oxygen (DO)","6.1"
"1981-06-23",4,"Dissolved oxygen saturation","64.2105"
"1981-06-23",4.5,"Specific conductance","550"
"1981-06-23",4.5,"Alkalinity, total","262"
"1981-06-23",4.5,"Phosphorus","0.38"
"1981-06-23",5,"Dissolved oxygen (DO)","6.1"
"1981-06-23",5,"pH","8"
"1981-06-23",5,"Dissolved oxygen saturation","64.2105"
"1981-06-23",5,"Temperature, water","18.2"
"1981-06-23",6,"Dissolved oxygen (DO)","0.2"
"1981-06-23",6,"pH","7.9"
"1981-06-23",6,"Dissolved oxygen saturation","1.92307"
"1981-06-23",6,"Temperature, water","14"
"1981-06-23",6,"Specific conductance","550"
"1981-06-23",6,"Alkalinity, total","285"
"1981-06-23",6,"Phosphorus","0.59"
"1981-06-23",7,"Dissolved oxygen (DO)","0.1"
"1981-06-23",7,"Dissolved oxygen saturation","0.92593"
"1981-06-23",7,"Temperature, water","11.7"
"1981-06-23",7.5,"Dissolved oxygen (DO)","0.1"
"1981-06-23",7.5,"pH","7.5"
"1981-06-23",7.5,"Dissolved oxygen saturation","0.9009"
"1981-06-23",7.5,"Temperature, water","11"
"1981-06-23",7.5,"Specific conductance","560"
"1981-06-23",7.5,"Alkalinity, total","292"
"1981-06-23",7.5,"Phosphorus","0.99"
"1981-06-23",9,"Dissolved oxygen (DO)","0.05"
"1981-06-23",9,"pH","7.5"
"1981-06-23",9,"Dissolved oxygen saturation","0.45045"
"1981-06-23",9,"Temperature, water","11"
"1981-06-23",9,"Specific conductance","580"
"1981-06-23",9,"Alkalinity, total","320"
"1981-06-23",9,"Phosphorus","1.33"
"1981-06-23",10,"Dissolved oxygen (DO)","0.05"
"1981-06-23",10,"Dissolved oxygen saturation","0.45045"
"1981-06-23",10,"Temperature, water","10.7"
"1981-06-23",10.5,"Dissolved oxygen (DO)","0.05"
"1981-06-23",10.5,"Dissolved oxygen saturation","0.44248"
"1981-06-23",10.5,"Temperature, water","10.5"
"1981-07-08",0.5,"pH","8.9"
"1981-07-08",0.5,"Dissolved oxygen (DO)","17.2"
"1981-07-08",0.5,"Dissolved oxygen saturation","217.721"
"1981-07-08",0.5,"Depth, Secchi disk depth","0.8"
"1981-07-08",0.5,"Temperature, water","28.2"
"1981-07-08",0.5,"Specific conductance","450"
"1981-07-08",0.5,"Chlorophyll a, corrected for pheophytin","32"
"1981-07-08",0.5,"Alkalinity, total","208"
"1981-07-08",0.5,"Phosphorus","0.18"
"1981-07-08",1,"Dissolved oxygen (DO)","17.2"
"1981-07-08",1,"Dissolved oxygen saturation","217.721"
"1981-07-08",1,"Temperature, water","28.1"
"1981-07-08",2,"Dissolved oxygen (DO)","3.8"
"1981-07-08",2,"Dissolved oxygen saturation","48.1012"
"1981-07-08",2,"Temperature, water","27.7"
"1981-07-08",2.5,"Specific conductance","490"
"1981-07-08",6,"Dissolved oxygen (DO)","0.1"
"1981-07-08",2.5,"Alkalinity, total","254"
"1981-07-08",2.5,"Phosphorus","0.39"
"1981-07-08",3,"Dissolved oxygen (DO)","0.25"
"1981-07-08",3,"pH","8.1"
"1981-07-08",3,"Dissolved oxygen saturation","2.77778"
"1981-07-08",3,"Temperature, water","21"
"1981-07-08",4,"Dissolved oxygen (DO)","0.2"
"1981-07-08",4,"Dissolved oxygen saturation","2.10526"
"1981-07-08",4,"Temperature, water","18.5"
"1981-07-08",5,"Dissolved oxygen (DO)","0.15"
"1981-07-08",5,"Dissolved oxygen saturation","1.54639"
"1981-07-08",5,"Temperature, water","16.6"
"1981-07-08",6,"Temperature, water","14"
"1981-07-08",7,"Dissolved oxygen (DO)","0.1"
"1981-07-08",7,"Dissolved oxygen saturation","0.92593"
"1981-07-08",7,"Temperature, water","11.8"
"1981-07-08",8,"Dissolved oxygen (DO)","0.1"
"1981-07-08",8,"Dissolved oxygen saturation","0.9009"
"1981-07-08",8,"Temperature, water","11"
"1981-07-08",9,"Dissolved oxygen (DO)","0.1"
"1981-07-08",9,"Temperature, water","10.7"
"1981-07-08",9,"Dissolved oxygen saturation","0.9009"
"1981-07-08",9.5,"Specific conductance","510"
"1981-07-08",9.5,"Alkalinity, total","307"
"1981-07-08",9.5,"Phosphorus","2.04"
"1981-07-08",10,"Dissolved oxygen (DO)","0.1"
"1981-07-08",10,"pH","7.6"
"1981-07-08",10,"Dissolved oxygen saturation","0.88496"
"1981-07-08",10,"Temperature, water","10.2"
"1981-07-08",10.5,"Dissolved oxygen (DO)","0.1"
"1981-07-08",10.5,"Dissolved oxygen saturation","0.88496"
"1981-07-08",10.5,"Temperature, water","10.1"
"1981-07-20",0.5,"pH","8.9"
"1981-07-20",0.5,"Dissolved oxygen (DO)","13.6"
"1981-07-20",0.5,"Dissolved oxygen saturation","165.854"
"1981-07-20",0.5,"Depth, Secchi disk depth","1.5"
"1981-07-20",0.5,"Temperature, water","26.4"
"1981-07-20",0.5,"Specific conductance","440"
"1981-07-20",0.5,"Alkalinity, total","238"
"1981-07-20",0.5,"Phosphorus","0.31"
"1981-07-20",0.5,"Chlorophyll a, corrected for pheophytin","22.7"
"1981-07-20",0.5,"Total suspended solids","2"
"1981-07-20",1,"Dissolved oxygen (DO)","13.6"
"1981-07-20",1,"Dissolved oxygen saturation","165.854"
"1981-07-20",1,"Temperature, water","26.4"
"1981-07-20",2,"Dissolved oxygen (DO)","13.1"
"1981-07-20",2,"Dissolved oxygen saturation","159.756"
"1981-07-20",2,"Temperature, water","26"
"1981-07-20",3,"Dissolved oxygen (DO)","1.05"
"1981-07-20",3,"pH","8.2"
"1981-07-20",3,"Dissolved oxygen saturation","11.9318"
"1981-07-20",3,"Temperature, water","22.3"
"1981-07-20",3,"Specific conductance","460"
"1981-07-20",3,"Phosphorus","0.47"
"1981-07-20",4,"Dissolved oxygen (DO)","0.3"
"1981-07-20",4,"Dissolved oxygen saturation","3.19149"
"1981-07-20",4,"Temperature, water","19.3"
"1981-07-20",5,"Dissolved oxygen (DO)","0.25"
"1981-07-20",5,"Dissolved oxygen saturation","2.57732"
"1981-07-20",5,"Temperature, water","16.7"
"1981-07-20",6,"Dissolved oxygen (DO)","0.2"
"1981-07-20",6,"Dissolved oxygen saturation","1.92307"
"1981-07-20",6,"Temperature, water","14.1"
"1981-07-20",7,"Dissolved oxygen (DO)","0.2"
"1981-07-20",7,"Dissolved oxygen saturation","1.85185"
"1981-07-20",7,"Temperature, water","12.1"
